"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"Valiant Laboratories Limited","BE","   140","VALIANTLAB","27-SEP-2023","03-OCT-2023","Rs.133 to Rs.140","06-OCT-2023"
"Valiant Laboratories Limited","BE","   140","VALIANTLAB","27-SEP-2023","03-OCT-2023","Rs.133 to Rs.140","06-OCT-2023"
"Aditya Birla Finance Limited","NF","######","ABFL","27-SEP-2023","03-OCT-2023","Rs.1000","24-APR-2024"
"Oneclick Logistics India Limited","SME","99","OLIL","27-SEP-2023","03-OCT-2023","Rs.99","11-OCT-2023"
"Kontor Space Limited","SME","93","KONTOR","27-SEP-2023","03-OCT-2023","Rs.93","10-OCT-2023"
"Canarys Automations Limited","SME","31","CANARYS","27-SEP-2023","03-OCT-2023","Rs.29 to Rs.31","11-OCT-2023"
"Vinyas Innovative Technologies Limited","SME","165","VINYAS","27-SEP-2023","03-OCT-2023","Rs.162 to Rs.165","06-OCT-2023"
"E Factor Experiences Limited","SME","75","EFACTOR","27-SEP-2023","03-OCT-2023","Rs.71 to Rs.75","09-OCT-2023"
"Goyal Salt Limited","SME","38","GOYALSALT","26-SEP-2023","03-OCT-2023","Rs.36 to Rs.38","11-OCT-2023"
"Updater Services Limited","EQ","   300","UDS","25-SEP-2023","27-SEP-2023","Rs.280 to Rs.300","04-OCT-2023"
"JSW Infrastructure Limited","EQ","   119","JSWINFRA","25-SEP-2023","27-SEP-2023","Rs.113 to Rs.119","03-OCT-2023"
"Saakshi Medtech and Panels Limited","SME","97","SAAKSHI","25-SEP-2023","27-SEP-2023","Rs.92 to Rs.97","03-OCT-2023"
"Digikore Studios Limited","SME","171","DIGIKORE","25-SEP-2023","27-SEP-2023","Rs.168 to Rs.171","04-OCT-2023"
"Arabian Petroleum Limited","SME","70","ARABIAN","25-SEP-2023","27-SEP-2023","Rs.70","09-OCT-2023"
"Newjaisa Technologies Limited","SME","47","NEWJAISA","25-SEP-2023","27-SEP-2023","Rs.44 to Rs.47","05-OCT-2023"
"Inspire Films Limited","SME","59","INSPIRE","25-SEP-2023","27-SEP-2023","Rs.56 to Rs.59","05-OCT-2023"
"Manoj Vaibhav Gems N Jewellers Limited","EQ","   215","MVGJL","22-SEP-2023","26-SEP-2023","Rs.204 to Rs.215","03-OCT-2023"
"Mangalam Alloys Limited","SME","80","MAL","21-SEP-2023","25-SEP-2023","Rs.80","04-OCT-2023"
"Marco Cables and Conductors Limited","SME","-","MARCO","21-SEP-2023","25-SEP-2023","Rs.36","28-SEP-2023"
"HI-Green Carbon Limited","SME","75","HIGREEN","21-SEP-2023","25-SEP-2023","Rs.71 to Rs.75","28-SEP-2023"
"Sai Silks (Kalamandir) Limited","EQ","   222","KALAMANDIR","20-SEP-2023","22-SEP-2023","Rs.210 to Rs.222","27-SEP-2023"
"Signatureglobal (India) Limited","EQ","   385","SIGNATURE","20-SEP-2023","22-SEP-2023","Rs.366 to Rs.385","27-SEP-2023"
"Master Components Limited","SME","140","MASTER","18-SEP-2023","21-SEP-2023","Rs.140","29-SEP-2023"
"Madhusudan Masala Limited","SME","70","MADHUSUDAN","18-SEP-2023","21-SEP-2023","Rs.66 to Rs.70","26-SEP-2023"
"Yatra Online Limited","EQ","   142","YATRA","15-SEP-2023","20-SEP-2023","Rs.135 to Rs.142","28-SEP-2023"
"Cellecor Gadgets Limited","SME","92","CELLECOR","15-SEP-2023","20-SEP-2023","Rs.87 to Rs.92","28-SEP-2023"
"Holmarc Opto-Mechatronics Limited","SME","40","HOLMARC","15-SEP-2023","20-SEP-2023","Rs.40","25-SEP-2023"
"Kody Technolab Limited","SME","160","KODYTECH","15-SEP-2023","20-SEP-2023","Rs.160","27-SEP-2023"
"SAMHI Hotels Limited","EQ","   126","SAMHI","14-SEP-2023","18-SEP-2023","Rs.119 to Rs.126","22-SEP-2023"
"Zaggle Prepaid Ocean Services Limited","EQ","   164","ZAGGLE","14-SEP-2023","18-SEP-2023","Rs.156 to Rs.164","22-SEP-2023"
"R R Kabel Limited","EQ","  1035","RRKABEL","13-SEP-2023","15-SEP-2023","Rs.983 to Rs.1035","20-SEP-2023"
"Kundan Edifice Limited","SME","91","KEL","12-SEP-2023","15-SEP-2023","Rs.91","26-SEP-2023"
"Chavda Infra Limited","SME","65","CHAVDA","12-SEP-2023","14-SEP-2023","Rs.60 to Rs.65","25-SEP-2023"
"EMS Limited","EQ","   211","EMSLIMITED","08-SEP-2023","12-SEP-2023","Rs.200 to Rs.211","21-SEP-2023"
"Unihealth Consultancy Limited","SME","132","UNIHEALTH","08-SEP-2023","12-SEP-2023","Rs.126 to Rs.132","21-SEP-2023"
"Jiwanram Sheoduttrai Industries Limited","SME","23","JIWANRAM","08-SEP-2023","12-SEP-2023","Rs.23","18-SEP-2023"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","06-SEP-2023","20-SEP-2023","Rs.1000","09-APR-2024"
"Jupiter Life Line Hospitals Limited","EQ","   735","JLHL","06-SEP-2023","08-SEP-2023","Rs.695 to Rs.735","18-SEP-2023"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","06-SEP-2023","20-SEP-2023","Rs.1000","09-APR-2024"
"Ratnaveer Precision Engineering Limited","BE","    98","RATNAVEER","04-SEP-2023","06-SEP-2023","Rs.93 to Rs.98","11-SEP-2023"
"Ratnaveer Precision Engineering Limited","BE","    98","RATNAVEER","04-SEP-2023","06-SEP-2023","Rs.93 to Rs.98","11-SEP-2023"
"Basilic Fly Studio Limited","SME","97","BASILIC","01-SEP-2023","05-SEP-2023","Rs.92 to Rs 97","11-SEP-2023"
"Pramara Promotions Limited","SME","63","PRAMARA","01-SEP-2023","05-SEP-2023","Rs.63","13-SEP-2023"
"Saroja Pharma Industries India Limited","SME","84","SAROJA","31-AUG-2023","05-SEP-2023","Rs.84","13-SEP-2023"
"Rishabh Instruments Limited","EQ","   441","RISHABH","30-AUG-2023","01-SEP-2023","Rs.418 to Rs.441","11-SEP-2023"
"C P S Shapers Limited","SME","185","CPS","29-AUG-2023","31-AUG-2023","Rs.185","07-SEP-2023"
"Mono Pharmacare Limited","SME","28","MONOPHARMA","28-AUG-2023","30-AUG-2023","Rs.26 to Rs.28","07-SEP-2023"
"Sahaj Fashions Limited","SME","30","SAHAJ","25-AUG-2023","29-AUG-2023","Rs.30","06-SEP-2023"
"CreditAccess Grameen Limited","NE","  1000","CREDITACC","24-AUG-2023","01-SEP-2023","Rs.1000","11-SEP-2023"
"Vishnu Prakash R Punglia Limited","EQ","    99","VPRPL","24-AUG-2023","28-AUG-2023","Rs.94 to Rs.99","05-SEP-2023"
"CreditAccess Grameen Limited","NE","  1000","CREDITACC","24-AUG-2023","01-SEP-2023","Rs.1000","11-SEP-2023"
"Aeroflex Industries Limited","EQ","   108","AEROFLEX","22-AUG-2023","24-AUG-2023","Rs.102 to Rs.108","31-AUG-2023"
"Sungarner Energies Limited","SME","83","SEL","21-AUG-2023","23-AUG-2023","Rs.83","31-AUG-2023"
"Pyramid Technoplast Limited","BE","   166","PYRAMID","18-AUG-2023","22-AUG-2023","Rs.151 to Rs.166","29-AUG-2023"
"Pyramid Technoplast Limited","BE","   166","PYRAMID","18-AUG-2023","22-AUG-2023","Rs.151 to Rs.166","29-AUG-2023"
"Crop Life Science Limited","SME","52","CLSL","18-AUG-2023","22-AUG-2023","Rs.52","30-AUG-2023"
"TVS Supply Chain Solutions Limited","EQ","   197","TVSSCS","10-AUG-2023","14-AUG-2023","Rs.187 to Rs.197","23-AUG-2023"
"Srivari Spices and Foods Limited","SME","42","SSFL","07-AUG-2023","09-AUG-2023","Rs.40 to Rs.42","18-AUG-2023"
"Concord Biotech Limited","EQ","   741","CONCORDBIO","04-AUG-2023","08-AUG-2023","Rs.705 to Rs.741","18-AUG-2023"
"Yudiz Solutions Limited","SME","165","YUDIZ","04-AUG-2023","08-AUG-2023","Rs.162 to Rs.165","17-AUG-2023"
"Sangani Hospitals Limited","SME","40","SANGANI","04-AUG-2023","08-AUG-2023","Rs.37 to Rs.40","17-AUG-2023"
"SBFC Finance Limited","EQ","    57","SBFC","03-AUG-2023","07-AUG-2023","Rs.54 to Rs.57","16-AUG-2023"
"Vinsys IT Services India Limited","SME","128","VINSYS","01-AUG-2023","04-AUG-2023","Rs.121 to Rs.128","11-AUG-2023"
"Oriana Power Limited","SME","118","ORIANA","01-AUG-2023","03-AUG-2023","Rs.115 to Rs.118","11-AUG-2023"
"Cholamandalam Investment and Finance Company Limited","N0","######","758CIFL30","28-JUL-2023","03-AUG-2023","Rs.1000","17-OCT-2025"
"Cholamandalam Investment and Finance Company Limited","N0","######","758CIFL30","28-JUL-2023","03-AUG-2023","Rs.1000","17-OCT-2025"
"Zeal Global Services Limited","SME","103","ZEAL","28-JUL-2023","01-AUG-2023","Rs.103","09-AUG-2023"
"Yatharth Hospital and Trauma Care Services Limited","EQ","   300","YATHARTH","26-JUL-2023","28-JUL-2023","Rs.285 to Rs.300","07-AUG-2023"
"Shri Techtex Limited","SME","61","SHRITECH","26-JUL-2023","28-JUL-2023","Rs.54 to Rs. 61","04-AUG-2023"
"Yasons Chemex Care Limited","SME","40","YCCL","24-JUL-2023","26-JUL-2023","Rs.40","03-AUG-2023"
"Netweb Technologies India Limited","EQ","   500","NETWEB","17-JUL-2023","19-JUL-2023","Rs.475 to Rs.500","27-JUL-2023"
"Service Care Limited","SME","67","SERVICE","14-JUL-2023","18-JUL-2023","Rs.63 to Rs.67","26-JUL-2023"
"Utkarsh Small Finance Bank Limited","EQ","    25","UTKARSHBNK","12-JUL-2023","14-JUL-2023","Rs.23 to Rs.25","21-JUL-2023"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","10-JUL-2023","21-JUL-2023","Rs.1000","09-APR-2024"
"Navi Finserv Limited","ND","  1000","NAVIFIN","10-JUL-2023","13-JUL-2023","Rs.1000","18-MAR-2024"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","10-JUL-2023","21-JUL-2023","Rs.1000","09-APR-2024"
"Navi Finserv Limited","ND","  1000","NAVIFIN","10-JUL-2023","13-JUL-2023","Rs.1000","18-MAR-2024"
"Drone Destination Limited","SME","65","DRONE","07-JUL-2023","13-JUL-2023","Rs.62 to Rs.65","21-JUL-2023"
"Senco Gold Limited","EQ","   317","SENCO","04-JUL-2023","06-JUL-2023","Rs.301 to Rs.317","14-JUL-2023"
"PKH Ventures Limited - Issue Withdrawn","EQ","-","PKH","30-JUN-2023","04-JUL-2023","Rs.140 to Rs.148","-"
"PKH Ventures Limited","EQ","-","PKH","30-JUN-2023","04-JUL-2023","Rs.140 to Rs.148","-"
"Tridhya Tech Limited","SME","42","TRIDHYA","30-JUN-2023","05-JUL-2023","Rs.35 to Rs.42","13-JUL-2023"
"Synoptics Technologies Limited","SME","237","SYNOPTICS","30-JUN-2023","05-JUL-2023","Rs.237","13-JUL-2023"
"Global Pet Industries Limited","SME","49","GLOBALPET","28-JUN-2023","03-JUL-2023","Rs.49","10-JUL-2023"
"Cyient DLM Limited","EQ","   265","CYIENTDLM","27-JUN-2023","30-JUN-2023","Rs.250 to Rs.265","10-JUL-2023"
"Ideaforge Technology Limited","EQ","   672","IDEAFORGE","26-JUN-2023","30-JUN-2023","Rs.638 to Rs.672","07-JUL-2023"
"Pentagon Rubber Limited","SME","70","PENTAGON","26-JUN-2023","30-JUN-2023","Rs.65 to Rs.70","07-JUL-2023"
"Magson Retail and Distribution Limited","SME","65","MAGSON","23-JUN-2023","27-JUN-2023","Rs.65","06-JUL-2023"
"Greenchef Appliances Limited","SME","87","GREENCHEF","23-JUN-2023","27-JUN-2023","Rs.82 to Rs.87","06-JUL-2023"
"Essen Speciality Films Limited","SME","107","ESFL","23-JUN-2023","27-JUN-2023","Rs.101 to Rs.107","06-JUL-2023"
"HMA Agro Industries Limited","EQ","   585","HMAAGRO","20-JUN-2023","23-JUN-2023","Rs.555 to Rs.585","04-JUL-2023"
"Aatmaj Healthcare Limited","SME","60","AATMAJ","19-JUN-2023","21-JUN-2023","Rs.60","30-JUN-2023"
"Vilin Bio Med Limited","SME","30","VILINBIO","16-JUN-2023","21-JUN-2023","Rs.30","30-JUN-2023"
"Cell Point (India) Limited","SME","100","CELLPOINT","15-JUN-2023","20-JUN-2023","Rs.100","28-JUN-2023"
"Urban Enviro Waste Management Limited","SME","100","URBAN","12-JUN-2023","14-JUN-2023","Rs.100","22-JUN-2023"
"IIFL Finance Limited","N0","######","880IIFL26","09-JUN-2023","22-JUN-2023","Rs.1000","10-JUL-2025"
"IIFL Finance Limited","N0","######","880IIFL26","09-JUN-2023","22-JUN-2023","Rs.1000","10-JUL-2025"
"Spectrum Talent Management Limited","SME","173","SPECTSTM","09-JUN-2023","14-JUN-2023","Rs.169 to Rs.173","22-JUN-2023"
"IKIO Lighting Limited","EQ","   285","IKIO","06-JUN-2023","08-JUN-2023","Rs.270 to Rs.285","16-JUN-2023"
"Kore Digital Limited","SME","180","KDL","02-JUN-2023","07-JUN-2023","Rs.180","14-JUN-2023"
"Sahana System Limited","SME","135","SAHANA","31-MAY-2023","02-JUN-2023","Rs.132 To Rs.135","12-JUN-2023"
"Infollion Research Services Limited","SME","82","INFOLLION","29-MAY-2023","31-MAY-2023","Rs.80 TO Rs.82","08-JUN-2023"
"Proventus Agrocom Limited","SME","771","PROV","24-MAY-2023","26-MAY-2023","Rs.771","05-JUN-2023"
"Vasa Denticity Limited","SME","128","DENTALKART","23-MAY-2023","25-MAY-2023","Rs.121 TO Rs.128","02-JUN-2023"
"Crayons Advertising Limited","SME","65","CRAYONS","22-MAY-2023","25-MAY-2023","Rs.62 TO Rs.65","02-JUN-2023"
"Remus Pharmaceuticals Limited","SME","1229","REMUS","17-MAY-2023","19-MAY-2023","Rs.1150 TO Rs.1229","29-MAY-2023"
"Krishca Strapping Solutions Limited","SME","54","KRISHCA","16-MAY-2023","19-MAY-2023","Rs.51 TO Rs.54","26-MAY-2023"
"Auro Impex & Chemicals Limited","SME","78","AUROIMPEX","11-MAY-2023","15-MAY-2023","Rs.74 TO RS. 78","23-MAY-2023"
"Nexus Select Trust","RR","   100","NXST","09-MAY-2023","11-MAY-2023","Rs 95 to Rs 100","19-MAY-2023"
"Nexus Select Trust","RR","   100","NXST","09-MAY-2023","11-MAY-2023","Rs 95 to Rs 100","19-MAY-2023"
"De Neers Tools Limited","SME","101","DENEERS","28-APR-2023","03-MAY-2023","Rs.95 TO RS. 101","11-MAY-2023"
"Mankind Pharma Limited","EQ","  1080","MANKIND","25-APR-2023","27-APR-2023","Rs.1026 to Rs.1080","09-MAY-2023"
"Cholamandalam Investment and Finance Company Limited","N0","######","758CIFL30","25-APR-2023","27-APR-2023","Rs.1000","17-OCT-2025"
"Cholamandalam Investment and Finance Company Limited","N0","######","758CIFL30","25-APR-2023","27-APR-2023","Rs.1000","17-OCT-2025"
"Quicktouch Technologies Limited","SME","61","QUICKTOUCH","18-APR-2023","21-APR-2023","Rs.61","02-MAY-2023"
"A G Universal Limited","SME","60","AGUL","11-APR-2023","13-APR-2023","Rs.60","24-APR-2023"
"Pattech Fitwell Tube Components Limited","SME","50","PATTECH","05-APR-2023","12-APR-2023","Rs.50","21-APR-2023"
"Indiabulls Commercial Credit Limited","NZ","  1000","IBUCCREDIT","03-APR-2023","19-APR-2023","Rs.1000","27-APR-2023"
"Avalon Technologies Limited","EQ","   436","AVALON","03-APR-2023","06-APR-2023","Rs.415 to Rs.436","18-APR-2023"
"Indiabulls Commercial Credit Limited","NZ","  1000","IBUCCREDIT","03-APR-2023","19-APR-2023","Rs.1000","27-APR-2023"
"Mos Utility Limited","SME","76","MOS","31-MAR-2023","06-APR-2023","Rs.72 to Rs.76","18-APR-2023"
"Infinium Pharmachem Limited","SME","135","INFINIUM","31-MAR-2023","05-APR-2023","Rs.135","17-APR-2023"
"Sotac Pharmaceuticals Limited","SME","111","SOTAC","29-MAR-2023","03-APR-2023","Rs.105 to Rs.111","13-APR-2023"
"Udayshivakumar Infra Limited","BE","    35","USK","20-MAR-2023","23-MAR-2023","Rs.33 to Rs.35","03-APR-2023"
"Udayshivakumar Infra Limited","BE","    35","USK","20-MAR-2023","23-MAR-2023","Rs.33 to Rs.35","03-APR-2023"
"Nirman Agri Genetics Limited","SME","Rs.99","NIRMAN","15-MAR-2023","20-MAR-2023","Rs.99","28-MAR-2023"
"Quality Foils (India) Limited","SME","60","QFIL","14-MAR-2023","16-MAR-2023","Rs.60","24-MAR-2023"
"Global Surfaces Limited","BE","   140","GSLSU","13-MAR-2023","15-MAR-2023","Rs.133 to Rs.140","23-MAR-2023"
"Global Surfaces Limited","BE","   140","GSLSU","13-MAR-2023","15-MAR-2023","Rs.133 to Rs.140","23-MAR-2023"
"Vels Film International Limited","SME","99","VELS","10-MAR-2023","14-MAR-2023","Rs.99","22-MAR-2023"
"MCON Rasayan India Limited","SME","40","MCON","06-MAR-2023","10-MAR-2023","Rs.40","20-MAR-2023"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","03-MAR-2023","17-MAR-2023","Rs.1000","09-APR-2024"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","03-MAR-2023","17-MAR-2023","Rs.1000","09-APR-2024"
"Systango Technologies Limited","SME","90","SYSTANGO","02-MAR-2023","06-MAR-2023","Rs.85 to Rs.90","15-MAR-2023"
"Vertexplus Technologies Limited","SME","96","VERTEXPLUS","02-MAR-2023","06-MAR-2023","Rs.91 to Rs.96","15-MAR-2023"
"Divgi TorqTransfer Systems Limited","EQ","   590","DIVGIITTS","01-MAR-2023","03-MAR-2023","Rs.560 to Rs.590","14-MAR-2023"
"Srivasavi Adhesive Tapes Limited","SME","41","SRIVASAVI","23-FEB-2023","28-FEB-2023","Rs.41","09-MAR-2023"
"Viaz Tyres Limited","SME","62","VIAZ","16-FEB-2023","21-FEB-2023","Rs.62","01-MAR-2023"
"Indore Municipal Corporation","N3","   250","IMC1","10-FEB-2023","14-FEB-2023","Rs.1000","21-FEB-2023"
"Indore Municipal Corporation","N3","   250","IMC1","10-FEB-2023","14-FEB-2023","Rs.1000","21-FEB-2023"
"Agarwal Float Glass India Limited","SME","42","AGARWALFT","10-FEB-2023","15-FEB-2023","Rs.42","23-FEB-2023"
"Lead Reclaim and Rubber Products Limited","SME","25","LRRPL","09-FEB-2023","13-FEB-2023","Rs.25","21-FEB-2023"
"Shera Energy Limited","SME","57","SHERA","07-FEB-2023","09-FEB-2023","Rs.55 TO RS. 57","17-FEB-2023"
"Adani Enterprises Limited-FPO","EQ","-","ADANIENTPP","27-JAN-2023","31-JAN-2023","Rs.1556 to Rs.1638","-"
"Gayatri Rubbers and Chemicals Limited","SME","30","GRCL","25-JAN-2023","30-JAN-2023","Rs.30","07-FEB-2023"
"Aristo Bio-Tech and Lifescience Limited","SME","72","ARISTO","16-JAN-2023","19-JAN-2023","Rs.72","30-JAN-2023"
"InCred Financial Services Limited","N7","  1000","INCREDFIN","09-JAN-2023","27-JAN-2023","Rs.1000","06-FEB-2023"
"InCred Financial Services Limited","N7","  1000","INCREDFIN","09-JAN-2023","27-JAN-2023","Rs.1000","06-FEB-2023"
"Ducol Organics And Colours Limited","SME","78","DUCOL","09-JAN-2023","11-JAN-2023","Rs.78","19-JAN-2023"
"IIFL Finance Limited","N0","######","880IIFL26","06-JAN-2023","18-JAN-2023","Rs.1000","10-JUL-2025"
"IIFL Finance Limited","N0","######","880IIFL26","06-JAN-2023","18-JAN-2023","Rs.1000","10-JUL-2025"
"Indiabulls Commercial Credit Limited","NZ","  1000","IBUCCREDIT","05-JAN-2023","27-JAN-2023","Rs.1000","27-APR-2023"
"Indiabulls Commercial Credit Limited","NZ","  1000","IBUCCREDIT","05-JAN-2023","27-JAN-2023","Rs.1000","27-APR-2023"
"Chaman Metallics Limited","SME","Rs.38","CML","04-JAN-2023","06-JAN-2023","Rs.38","16-JAN-2023"
"Sah Polymers Limited","BE","    65","SAH","30-DEC-2022","04-JAN-2023","Rs.61 to Rs.65","12-JAN-2023"
"Sah Polymers Limited","BE","    65","SAH","30-DEC-2022","04-JAN-2023","Rs.61 to Rs.65","12-JAN-2023"
"Anlon Technology Solutions Limited","SME","100","ANLON","29-DEC-2022","02-JAN-2023","Rs.95 to Rs.100","10-JAN-2023"
"Radiant Cash Management Services Limited","EQ","    94","RADIANTCMS","23-DEC-2022","27-DEC-2022","Rs.94 to Rs.99","04-JAN-2023"
"RBM Infracon Limited","SME","36","RBMINFRA","23-DEC-2022","27-DEC-2022","Rs.36","04-JAN-2023"
"Homesfy Realty Limited","SME","197","HOMESFY","21-DEC-2022","23-DEC-2022","Rs.197","02-JAN-2023"
"Moxsh Overseas Educon Limited","SME","153","MOXSH","21-DEC-2022","23-DEC-2022","Rs.153","30-DEC-2022"
"Elin Electronics Limited","EQ","   247","ELIN","20-DEC-2022","22-DEC-2022","Rs.234 to Rs.247","30-DEC-2022"
"KFin Technologies Limited","EQ","   366","KFINTECH","19-DEC-2022","21-DEC-2022","Rs.347 to Rs.366","29-DEC-2022"
"Arihant Academy Limited","SME","90","AAL","16-DEC-2022","21-DEC-2022","Rs.90","29-DEC-2022"
"Dollex Agrotech Limited","SME","35","DOLLEX","15-DEC-2022","20-DEC-2022","Rs.35","28-DEC-2022"
"Uma Converter Limited","SME","33","UMA","15-DEC-2022","21-DEC-2022","Rs.33","29-DEC-2022"
"Landmark Cars Limited","EQ","   506","LANDMARK","13-DEC-2022","15-DEC-2022","Rs.481 to Rs.506","23-DEC-2022"
"Sula Vineyards Limited","EQ","   357","SULA","12-DEC-2022","14-DEC-2022","Rs.340 to Rs.357","22-DEC-2022"
"Abans Holdings Limited","EQ","   270","AHL","12-DEC-2022","15-DEC-2022","Rs.256 to Rs.270","23-DEC-2022"
"All E Technologies Limited","SME","90","ALLETEC","09-DEC-2022","13-DEC-2022","Rs.87 to 90","21-DEC-2022"
"Arham Technologies Limited","SME","42","ARHAM","05-DEC-2022","07-DEC-2022","Rs.42","15-DEC-2022"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","01-DEC-2022","22-DEC-2022","Rs.1000","09-APR-2024"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","01-DEC-2022","22-DEC-2022","Rs.1000","09-APR-2024"
"Uniparts India Limited","EQ","   577","UNIPARTS","30-NOV-2022","02-DEC-2022","Rs.548 to Rs.577","12-DEC-2022"
"Dharmaj Crop Guard Limited","EQ","   237","DHARMAJ","28-NOV-2022","30-NOV-2022","Rs.216 to Rs.237	","08-DEC-2022"
"Baheti Recycling Industries Limited","SME","45","BAHETI","28-NOV-2022","30-NOV-2022","Rs.45","08-DEC-2022"
"Pritika Engineering Components Limited","SME","29","PRITIKA","25-NOV-2022","30-NOV-2022","Rs.29","08-DEC-2022"
"Keystone Realtors Limited","EQ","   541","RUSTOMJEE","14-NOV-2022","16-NOV-2022","Rs.514 to Rs.541","24-NOV-2022"
"CreditAccess Grameen Limited","NE","  1000","CREDITACC","14-NOV-2022","17-NOV-2022","Rs.1000","11-SEP-2023"
"CreditAccess Grameen Limited","NE","  1000","CREDITACC","14-NOV-2022","17-NOV-2022","Rs.1000","11-SEP-2023"
"Inox Green Energy Services Limited","EQ","    65","INOXGREEN","11-NOV-2022","15-NOV-2022","Rs.61 to Rs.65","23-NOV-2022"
"Kaynes Technology India Limited","EQ","   587","KAYNES","10-NOV-2022","14-NOV-2022","Rs.559 to Rs.587","22-NOV-2022"
"Archean Chemical Industries Limited","EQ","   407","ACI","09-NOV-2022","11-NOV-2022","Rs.386 to Rs.407","21-NOV-2022"
"FiveStar Business Finance Limited","EQ","   474","FIVESTAR","09-NOV-2022","11-NOV-2022","Rs.450 to Rs.474","21-NOV-2022"
"Bikaji Foods International Limited","EQ","   300","BIKAJI","03-NOV-2022","07-NOV-2022","Rs.285 to Rs.300","16-NOV-2022"
"Global Health Limited","EQ","   336","MEDANTA","03-NOV-2022","07-NOV-2022","Rs.319 to Rs.336","16-NOV-2022"
"Fusion Micro Finance Limited","EQ","   368","FUSION","02-NOV-2022","04-NOV-2022","Rs.350 to Rs.368","15-NOV-2022"
"Amiable Logistics (India) Limited","SME","81","AMIABLE","02-NOV-2022","07-NOV-2022","Rs.81","16-NOV-2022"
"DCX System limited","EQ","-","DCX","31-OCT-2022","02-NOV-2022","Rs.197 to Rs.207","-"
"Vital Chemtech Limited","SME","101","VITAL","31-OCT-2022","03-NOV-2022","Rs.95 to Rs.101","14-NOV-2022"
"Rite Zone Chemcon India Limited","SME","75","RITEZONE","31-OCT-2022","02-NOV-2022","Rs.75","11-NOV-2022"
"Integrated Personnel Services Limited","SME","59","IPSL","31-OCT-2022","02-NOV-2022","Rs.59","11-NOV-2022"
"National Highways Infra Trust","N3","   400","NHIT","17-OCT-2022","18-OCT-2022","Rs.1000","28-OCT-2022"
"National Highways Infra Trust","N3","   400","NHIT","17-OCT-2022","18-OCT-2022","Rs.1000","28-OCT-2022"
"Phantom Digital Effects Limited","SME","95","PHANTOMFX","12-OCT-2022","14-OCT-2022","Rs.91 to Rs.95","21-OCT-2022"
"Tracxn Technologies Limited","EQ","    80","TRACXN","10-OCT-2022","12-OCT-2022","Rs.75 to Rs.80","20-OCT-2022"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","07-OCT-2022","28-OCT-2022","Rs.1000","09-APR-2024"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","07-OCT-2022","28-OCT-2022","Rs.1000","09-APR-2024"
"Electronics Mart India Limited","EQ","    59","EMIL","04-OCT-2022","07-OCT-2022","Rs.56 to Rs.59","17-OCT-2022"
"Frog Cellsat Limited","SME","102","FROG","29-SEP-2022","04-OCT-2022","Rs.97 to Rs.102","13-OCT-2022"
"Swastik Pipe Limited","SME","100","SWASTIK","29-SEP-2022","03-OCT-2022","Rs.97 to Rs.100","12-OCT-2022"
"Lloyds Luxuries Limited","SME","40","LLOYDS","28-SEP-2022","30-SEP-2022","Rs.40","11-OCT-2022"
"Cyber Media Research & Services Limited","SME","180","CMRSL","27-SEP-2022","29-SEP-2022","Rs.171 to Rs.180","10-OCT-2022"
"QMS Medical Allied Services Limited","SME","121","QMSMEDI","27-SEP-2022","30-SEP-2022","Rs.121","11-OCT-2022"
"Kandarp Digi Smart BPO Limited","SME","30","KANDARP","16-SEP-2022","20-SEP-2022","Rs.30","28-SEP-2022"
"Maks Energy Solutions India Limited","SME","20","MAKS","16-SEP-2022","20-SEP-2022","Rs.20","28-SEP-2022"
"Varanium Cloud Limited","SME","61.5","CLOUDPP","16-SEP-2022","20-SEP-2022","Rs.122","20-OCT-2023"
"Annapurna Swadisht Limited","SME","70","ANNAPURNA","15-SEP-2022","19-SEP-2022","Rs.68 to Rs.70","27-SEP-2022"
"Harsha Engineers International Limited","EQ","   330","HARSHA","14-SEP-2022","16-SEP-2022","Rs.314 to Rs.330","26-SEP-2022"
"Tapi Fruit Processing Limited","SME","48","TAPIFRUIT","12-SEP-2022","14-SEP-2022","Rs.48","22-SEP-2022"
"Ishan International Limited","SME","80","ISHAN","09-SEP-2022","14-SEP-2022","Rs.80","22-SEP-2022"
"Sabar Flex India Limited","SME","11","SABAR","08-SEP-2022","13-SEP-2022","Rs.11","21-SEP-2022"
"Mega Flex Plastics Limited","SME","40","MEGAFLEX","06-SEP-2022","09-SEP-2022","Rs.40","19-SEP-2022"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","05-SEP-2022","22-SEP-2022","Rs.1000","09-APR-2024"
"Tamilnad Mercantile Bank Limited","BE","   510","TMB","05-SEP-2022","07-SEP-2022","Rs.500 to Rs.525","15-SEP-2022"
